collected_at,rank,name,appid,player_count
2026-02-19T18:00:01,9,"Apex Legends™",1172470,52135
2026-02-19T18:00:01,10,"Marvel Rivals",2767030,95107
2026-02-19T18:15:02,1,"Counter-Strike 2",730,954552
2026-02-19T18:15:02,2,"Dota 2",570,518851
2026-02-19T18:15:02,3,"PUBG: BATTLEGROUNDS",578080,106742
2026-02-19T18:15:02,4,"Wallpaper Engine",431960,47337
2026-02-19T18:15:02,5,"ARC Raiders",1808500,187869
2026-02-19T18:15:02,6,Terraria,105600,70457
2026-02-19T18:15:02,7,"HELLDIVERS™ 2",553850,78576
2026-02-19T18:15:02,8,"Overwatch®",2357570,102132
2026-02-19T18:15:02,9,"Apex Legends™",1172470,52135
2026-02-19T18:15:02,10,"Marvel Rivals",2767030,95107
2026-02-19T18:30:01,1,"Counter-Strike 2",730,954552
2026-02-19T18:30:01,2,"Dota 2",570,502573
2026-02-19T18:30:01,3,"PUBG: BATTLEGROUNDS",578080,94717
2026-02-19T18:30:01,4,"Wallpaper Engine",431960,46441
2026-02-19T18:30:01,5,"ARC Raiders",1808500,184227
2026-02-19T18:30:01,6,Terraria,105600,69476
2026-02-19T18:30:01,7,"HELLDIVERS™ 2",553850,78576
2026-02-19T18:30:01,8,"Overwatch®",2357570,100376
2026-02-19T18:30:01,9,"Apex Legends™",1172470,50164
2026-02-19T18:30:01,10,"Marvel Rivals",2767030,96111
2026-02-19T18:45:02,1,"Counter-Strike 2",730,894356
2026-02-19T18:45:02,2,"Dota 2",570,493905
2026-02-19T18:45:02,3,"PUBG: BATTLEGROUNDS",578080,90478
2026-02-19T18:45:02,4,"Wallpaper Engine",431960,46266
2026-02-19T18:45:02,5,"ARC Raiders",1808500,182149
2026-02-19T18:45:02,6,Terraria,105600,68242
2026-02-19T18:45:02,7,"HELLDIVERS™ 2",553850,77782
2026-02-19T18:45:02,8,"Overwatch®",2357570,100077
2026-02-19T18:45:02,9,"Apex Legends™",1172470,49685
2026-02-19T18:45:02,10,"Marvel Rivals",2767030,97483
2026-02-19T18:47:23,1,"Counter-Strike 2",730,894356
2026-02-19T18:47:23,2,"Dota 2",570,493905
2026-02-19T18:47:23,3,"PUBG: BATTLEGROUNDS",578080,90478
2026-02-19T18:47:23,4,"Wallpaper Engine",431960,46266
2026-02-19T18:47:23,5,"ARC Raiders",1808500,182149
2026-02-19T18:47:23,6,Terraria,105600,68242
2026-02-19T18:47:23,7,"HELLDIVERS™ 2",553850,77782
2026-02-19T18:47:23,8,"Overwatch®",2357570,100077
2026-02-19T18:47:23,9,"Apex Legends™",1172470,49685
2026-02-19T18:47:23,10,"Marvel Rivals",2767030,97483
2026-02-19T19:00:02,1,"Counter-Strike 2",730,884366
2026-02-19T19:00:02,2,"Dota 2",570,485123
2026-02-19T19:00:02,3,"PUBG: BATTLEGROUNDS",578080,87067
2026-02-19T19:00:02,4,"Wallpaper Engine",431960,46271
2026-02-19T19:00:02,5,"ARC Raiders",1808500,181879
2026-02-19T19:00:02,6,Terraria,105600,68208
2026-02-19T19:00:02,7,"HELLDIVERS™ 2",553850,78236
2026-02-19T19:00:02,8,"Overwatch®",2357570,99820
2026-02-19T19:00:02,9,"Apex Legends™",1172470,49238
2026-02-19T19:00:02,10,"Marvel Rivals",2767030,99021
2026-02-19T19:15:02,1,"Counter-Strike 2",730,838568
2026-02-19T19:15:02,2,"Dota 2",570,478952
2026-02-19T19:15:02,3,"PUBG: BATTLEGROUNDS",578080,87067
2026-02-19T19:15:02,4,"Wallpaper Engine",431960,46271
2026-02-19T19:15:02,5,"ARC Raiders",1808500,181634
2026-02-19T19:15:02,6,Terraria,105600,68208
2026-02-19T19:15:02,7,"HELLDIVERS™ 2",553850,79048
2026-02-19T19:15:02,8,"Overwatch®",2357570,99823
2026-02-19T19:15:02,9,"Apex Legends™",1172470,49245
2026-02-19T19:15:02,10,"Marvel Rivals",2767030,100106
2026-02-19T19:30:02,1,"Counter-Strike 2",730,816164
2026-02-19T19:30:02,2,"Dota 2",570,478952
2026-02-19T19:30:02,3,"PUBG: BATTLEGROUNDS",578080,84038
2026-02-19T19:30:02,4,"Wallpaper Engine",431960,46666
2026-02-19T19:30:02,5,"ARC Raiders",1808500,183056
2026-02-19T19:30:02,6,Terraria,105600,68193
2026-02-19T19:30:02,7,"HELLDIVERS™ 2",553850,80468
2026-02-19T19:30:02,8,"Overwatch®",2357570,99823
2026-02-19T19:30:02,9,"Apex Legends™",1172470,49761
2026-02-19T19:30:02,10,"Marvel Rivals",2767030,100106
2026-02-19T19:45:02,1,"Counter-Strike 2",730,793397
2026-02-19T19:45:02,2,"Dota 2",570,473922
2026-02-19T19:45:02,3,"PUBG: BATTLEGROUNDS",578080,82829
